,track_id,track_name,artist_name,danceability,key,acousticness,kmeans
1594,2SuTg9SbfgvHOqhZonuu1j,Nandyan Agad Ako,Ex Battalion,0.799,9.0,0.661,2
1597,5SHhPFh68OhUmuRPymKX9d,Undrunk,FLETCHER,0.679,5.0,0.455,2
1602,2rXVtoLBHuXcNB5DVfIc9p,Happiness,Rex Orange County,0.399,5.0,0.734,2
1608,6gXaPCP95gh1hmjecbw4po,Dalaga (Stripped),ALLMO$T,0.783,5.0,0.764,2
1609,26OhjtaTamFocE08t83ml6,"Psycho, Pt. 2",Russ,0.766,10.0,0.775,2
1610,4QIo4oxwzzafcBWkKjDpXY,xanny,Billie Eilish,0.521,9.0,0.751,2
1651,4WzhjxvLP95y7AMDy0Atwb,Out Of Love,Alessia Cara,0.481,7.0,0.8,2
1655,7DUmSBR4QzlTdlsIVo62ra,Araw-Araw,Ben&Ben,0.475,11.0,0.582,2
1664,5dE2M9Q15O1JMeOODNNgIm,"Bat Ngayon?, Pt.1",CLR,0.835,9.0,0.609,2
1665,15xWRPHQMeqgdkGzInx3PY,Falling Like The Stars,James Arthur,0.296,6.0,0.823,2
1674,3tWw8jEXsPeZh7zZoidKuh,"A Whole New World - From ""Aladdin""",Darren Espanto,0.446,9.0,0.77,2
1677,4tNXntkAzQ5A2dfYRYGIIQ,Easier,5 Seconds of Summer,0.505,5.0,0.489,2
1679,0itJunKndBvlOEyyzl070I,Speechless (Full),Naomi Scott,0.474,6.0,0.467,2
1685,4a5zacCsHLtMC2mcxkqWwn,Sad Forever,Lauv,0.527,5.0,0.468,2
1708,1bBDyj7kZdMOAMX3czsWFg,Tagpuan - Duet Version,Moira Dela Torre,0.477,8.0,0.788,2
1714,6TbDpqKCksZNJjriFhPum8,Could I Love You Any More (feat. Jason Mraz),Reneé Dominique,0.288,11.0,0.666,2
1719,7ILEWkpfdK6AjH2D7jppWk,Don't Check On Me (feat. Justin Bieber & Ink),Chris Brown,0.661,7.0,0.873,2
1736,1zSKtBze2IReYU44W0lDzd,Can You Feel the Love Tonight,Beyoncé,0.337,5.0,0.657,2
1741,39fwy7Q1spclVNFeu64lgd,Walang Gana,King Badger,0.875,8.0,0.419,2
1743,5DuSzOxHDi1qZycpzIWyhO,I Love You 3000,Stephanie Poetri,0.648,6.0,0.911,2
1748,3DVnV3LELIUSvrzbofWdMM,Andiyan,John Roa,0.497,5.0,0.931,2
1754,4cxMGhkinTocPSVVKWIw0d,Losin Control,Russ,0.759,6.0,0.515,2
1756,5iVMvLDFM5UBqq2h1ouHoe,SUMMER AT 7,Russ,0.571,11.0,0.753,2
1763,322tcqPhma7F6hfCeLisx0,"fuck, i'm lonely",Lauv,0.806,9.0,0.482,2
1764,6IdEQ3HUseBeRUYFSzSMdL,Zebbiana,Skusta Clee,0.677,8.0,0.545,2
1768,1rgnBhdG2JDFTbYkYRZAku,Dance Monkey,Tones And I,0.826,6.0,0.688,2
1775,2Gt5SmbyQjcjEqMOdEd3QE,Dahilan,Silent Sanctuary,0.63,11.0,0.536,2
1776,0bzbvANY6oETSJLc0wlVGY,Lover,Taylor Swift,0.359,7.0,0.492,2
1781,07JZJ9YJRaiUAz9Bv8wgwH,Mabagal,Daniel Padilla,0.356,5.0,0.508,2
1782,77iVPjxBy9Q3GgOxVE1UUA,"Halik Sa Hangin - From ""The Killer Bride""",KZ Tandingan,0.505,11.0,0.623,2
1794,5hQSXkFgbxjZo9uCwd11so,False God,Taylor Swift,0.739,11.0,0.736,2
1796,1SmiQ65iSAbPto6gPFlBYm,It’s Nice To Have A Friend,Taylor Swift,0.737,10.0,0.971,2
1806,3707IBa4HnS3zDDoWfeUBl,I Warned Myself,Charlie Puth,0.488,10.0,0.562,2
1820,65sEZZaxTjLMD8vNgPoMz5,Imahe,Magnus Haven,0.604,9.0,0.63,2
1822,2b8fOow8UzyDFAE27YhOZM,Memories,Maroon 5,0.764,11.0,0.837,2
1840,1iQDltZqI7BXnHrFy4Qo1k,Trampoline (with ZAYN),SHAED,0.619,7.0,0.56,2
1845,2tR5liucorXRwduxr0qEx6,Binalewala - Original Version,Michael Dutchi Libranda,0.501,10.0,0.569,2
1853,55wiiyCgZIFAbQxDUctLjd,Binalewala - Acoustic Version,Michael Dutchi Libranda,0.46,10.0,0.868,2
1862,39JRmdKFka1Oe09FoOCPI4,Selah,Kanye West,0.482,9.0,0.647,2
1863,3JWiDGQX2eTlFvKj3Yssj3,Closed On Sunday,Kanye West,0.799,11.0,0.873,2
1864,1WnqWQcWcuQbVzgE7ecfCY,Every Hour,Kanye West,0.588,7.0,0.466,2
1871,0luyrm1L6gjtoLekHOf67t,Masyado Pang Maaga,Ben&Ben,0.526,7.0,0.458,2
1877,4T7CM071eEoHudiDShZlCJ,Tala,Sarah Geronimo,0.598,8.0,0.623,2
1881,3i9UVldZOE0aD0JnyfAZZ0,Lover (Remix) [feat. Shawn Mendes],Taylor Swift,0.448,7.0,0.433,2
1885,4wopYJ5wpYOM6ogm2Jugnw,"fuck, i'm lonely (with Anne-Marie) - from “13 Reasons Why: Season 3”",Lauv,0.806,9.0,0.482,2
1886,3ZCTVFBt2Brf31RLEnCkWJ,everything i wanted,Billie Eilish,0.704,6.0,0.902,2
1893,3Z0oQ8r78OUaHvGPiDBR3W,Into the Unknown,Idina Menzel,0.323,10.0,0.849,2
1898,50WeOnXhM1H7AZEeIDoWfZ,Show Yourself,Idina Menzel,0.321,6.0,0.724,2
1900,7namdlOhbtsc8FvoSafOQt,Lost in the Woods,Jonathan Groff,0.366,8.0,0.695,2
1901,4Xbotg4PCLJw9cDx2dtZLK,Some Things Never Change,Kristen Bell,0.566,5.0,0.613,2
1902,1Tt7zr1yDbKbT8L4jzSZ74,When I Am Older,Josh Gad,0.73,8.0,0.705,2
1903,61HVbcNeRACZpyvHrc3AnD,All Is Found,Evan Rachel Wood,0.228,5.0,0.926,2
1906,5EeQQ8BVJTRkp1AIKJILGY,All Is Found - Kacey Musgraves Version,Kacey Musgraves,0.438,5.0,0.954,2
1914,2mlGPkAx4kwF8Df0GlScsC,Buttercup,Jack Stauber,0.705,7.0,0.723,2
1922,2IOFZdYYkFxEHVz1w34PoL,Cherry,Harry Styles,0.53,7.0,0.615,2
1923,4YMfE4r1JWADFw2Fn74XW2,Catriona,Matthaios,0.71,5.0,0.67,2
1924,2RznbF8XhNdUCpRymyVTfp,Mean It - stripped,Lauv,0.538,7.0,0.746,2
1928,54q6WgqyTXjwOSrevVR8z9,"Baby, It's Cold Outside (feat. Kelly Clarkson)",John Legend,0.544,5.0,0.499,2
1931,4Day5xkFhvHLwXykznyRLA,All I Want (For Christmas),Liam Payne,0.581,7.0,0.811,2
1936,7g694qC2ODDYrYfkCZtg0n,Exchange Gift,ALLMO$T,0.712,9.0,0.49,2
1947,3VyjsVV24RmBIbWJAeUJNu,No Idea,Don Toliver,0.651,6.0,0.519,2
1957,5JfXvkPqBWrTUBb1OWs1mU,Alam Ko,John Roa,0.326,10.0,0.809,2
1966,4VKFCHzpzKk4c40bkYhCkX,Lowkey,Matthaios,0.684,9.0,0.802,2
1968,2B7oyUTr2pCsUqPy4bgiYB,"fuck, i'm lonely - from “13 Reasons Why: Season 3”",Lauv,0.806,9.0,0.482,2
1970,011GTFfE8rqTRMhz5g8IAW,Repeat,Al James,0.844,9.0,0.434,2
1971,3cqPu20DGTGUoZtbJH2Dmi,What If I Told You That I Love You,Ali Gatie,0.605,7.0,0.63,2
1984,0P6AWOA4LG1XOctzaVu5tt,The Weekend - Funk Wav Remix,SZA,0.775,11.0,0.495,2
1988,1LdS1ULS9e18oW3M2C1MUj,"always, i'll care",Jeremy Zucker,0.784,6.0,0.918,2
1993,2ZlCGeK30BLRNSPC832pNZ,Forever (feat. Post Malone & Clever),Justin Bieber,0.825,8.0,0.538,2
1996,7eJMfftS33KTjuF7lTsMCx,death bed (coffee for your head),Powfu,0.726,8.0,0.731,2
1997,1x7DysraeqSgVgj95hHc3U,Araw-Araw Love,Flow G,0.692,7.0,0.554,2
2016,2ctqjxISMsrkCg7YdGkECu,Normalan,Shanti Dope,0.765,8.0,0.524,2
2022,2qG81jL9UIP54uS8gYyP4k,Who (feat. BTS),Lauv,0.632,11.0,0.551,2
2029,09PGubKAMryhOWv1LHpCYz,"fuck, i'm lonely (with Anne-Marie)",Lauv,0.806,9.0,0.482,2
2048,6SFeCisbYSqaQwL9hucoF2,You Decorated My Life,Kenny Rogers,0.264,7.0,0.662,2
2049,5vXsj8L4DK1gGQ43BBG028,We've Got Tonight,Kenny Rogers,0.543,8.0,0.767,2
2052,5CDq3Ekm0E0c23S0mbEELV,Here I Am Again,Yerin Baek,0.451,9.0,0.831,2
2065,6ZMct78FDodlW1QEWlmVTB,Delubyo,Unique Salonga,0.439,7.0,0.912,2
2074,1EEsKj8lQKZwaFXJ5GFsdk,War,Ben&Ben,0.652,7.0,0.874,2
2078,3lWzVNe1yFZlkeBBzUuZYu,Bella Ciao - Música Original de la Serie la Casa de Papel/ Money Heist,Manu Pilas,0.46,9.0,0.538,2
2079,13iMiwdY7pgE1f7NwYKr1D,Renee's Song,Bazzi,0.593,9.0,0.794,2
2087,31Z8a8TVSOK5qMtkCfp05m,Lead Me Lord,Gary Valenciano,0.498,8.0,0.898,2
2089,2hfoyc7ve6xM4ZEiNIiU1B,Gimme Love,Joji,0.482,5.0,0.696,2
2090,1uRwUQicwng6S44RtsANQv,Hatid,The Juans,0.34,11.0,0.874,2
2094,3H3r2nKWa3Yk5gt8xgmsEt,This City,Sam Fischer,0.605,11.0,0.733,2
2103,61sJQh19AcTBrX7P8LWLi0,Passenger Seat (Acoustic),Stephen Speaks,0.549,7.0,0.683,2
2107,4DpNNXFMMxQEKl7r0ykkWA,Play Date,Melanie Martinez,0.68,5.0,0.612,2
2117,1NopgVCMVhCKIm64tF7auX,With A Smile,Eraserheads,0.328,6.0,0.72,2
2123,2A3CzmtFj1sK6W1qQtBz86,Huwag Mo Nang Itanong,Eraserheads,0.662,10.0,0.633,2
2124,37IyluB7MO8TMJGSf4h4dz,Alapaap / Overdrive,Tanya Manalang,0.352,6.0,0.479,2
2135,3fGnrtrtL1IHSX9t4DKOYf,Cornelia Street - Live From Paris,Taylor Swift,0.502,11.0,0.578,2
2136,4Aor9l4tiok1Llkbu0vREb,Puhon,TJ Monterde,0.524,7.0,0.403,2
2151,5RqR4ZCCKJDcBLIn4sih9l,Party Girl,StaySolidRocky,0.728,6.0,0.749,2
2152,0yRXPoZx4gkGUYDqNwEGOM,Marikit,Juan Caoile,0.806,11.0,0.577,2
2187,1N0yX1ECt0H4ZvxV1ogXJ8,Pagsuko,ALLMO$T,0.791,9.0,0.448,2
2188,4ja2gzrNh9VNigzoXfmbwD,Mariposa,Peach Tree Rascals,0.676,9.0,0.617,2
2189,2YreeV0asmC6tgM4IH2g5F,Pangga,Matthaios,0.765,9.0,0.861,2
2191,63qA4ydokzNOFpsaNlsYsC,Higa,Arthur Nery,0.657,9.0,0.45,2
2192,0sNZsYY8LSCCM4tC2y0zR1,Binhi,Arthur Nery,0.545,5.0,0.961,2
2194,5QiiYSr4pJMPOESQznu2IC,WAYO,BANG YE DAM,0.678,8.0,0.429,2
2201,55XlSI5d8hMVoNjVkpQpT7,Malayo,Ace Banzuelo,0.421,7.0,0.797,2
2221,4Qf9ljqJtUJFH9l2LwKzo7,by my side,HONNE,0.654,5.0,0.684,2
2240,6qCDsNEOnQ6uPG7m8gWUkW,"I Will Be Here (Original Soundtrack from the movie ""Through Night And Day"")",Alessandra De Rossi,0.426,9.0,0.902,2
2245,5raJ9QoZOdoRZ1MZOcygkR,INTRO : Calling,BTS,0.486,10.0,0.582,2
2246,0VF357Gjay5vvCqWA1kSu6,OUTRO : The Journey,BTS,0.523,9.0,0.704,2
2248,0XkmeG97T4mtYlWRJcrxec,Party Girl (Remix),StaySolidRocky,0.752,6.0,0.533,2
2254,46zaR58Xb71HqoR5CTbQAX,Beautiful Scars - Acoustic,Maximillian,0.803,6.0,0.855,2
2257,7kSLdGdXLey7pzLsWpdg1h,Little Things,One Direction,0.707,7.0,0.788,2
2261,5O2P9iiztwhomNh8xkR9lJ,Night Changes,One Direction,0.672,8.0,0.859,2
2276,4pvb0WLRcMtbPGmtejJJ6y,exile (feat. Bon Iver),Taylor Swift,0.298,6.0,0.778,2
2278,2Eeur20xVqfUoM3Q7EFPFt,the last great american dynasty,Taylor Swift,0.686,7.0,0.467,2
2279,1X2cYhcDMfDtiRIYHZCpQu,august,Taylor Swift,0.532,5.0,0.538,2
2283,2NmsngXHeC1GQ9wWrzhOMf,illicit affairs,Taylor Swift,0.559,10.0,0.881,2
2288,7MbT4I8qGntX4fMdqMQgke,peace,Taylor Swift,0.647,5.0,0.918,2
2289,6G61EqJgoEJhWaBT34jMyW,hoax,Taylor Swift,0.662,8.0,0.966,2
2291,4xqrdfXkTW4T0RauPLv3WA,Heather,Conan Gray,0.357,5.0,0.584,2
2293,2ygvZOXrIeVL4xZmAWJT2C,my future,Billie Eilish,0.444,8.0,0.795,2
2302,12cDuwg8jJ4N7RokLnFWfQ,Breath,Sam Kim,0.642,6.0,0.837,2
2323,6J9tgHIE8qdy5ulg3c9SwG,Our First Song,Joseph Vincent,0.701,11.0,0.958,2
2330,5rZlwNFl01HqLWBQGryKSm,Mood Swings (feat. Lil Tjay),Pop Smoke,0.48,10.0,0.487,2
2337,3Z5VoFXPMssg3AIZeTCxL1,Pagdating Ng Pasko,Jose Mari Chan,0.519,7.0,0.574,2
2339,4enEJGj42a9Nk9Gh7DNhWL,Let Me Be The One,Jimmy Bondoc,0.505,9.0,0.827,2
2340,3mX705S89qQeNtAASMdcws,When a Child Is Born,Jose Mari Chan,0.497,6.0,0.751,2
2348,3NFxEhW0A38HCoadVBhwew,Waterfalls,Julian Sean,0.621,8.0,0.536,2
2350,4GcfrUOEolR360d7XiINFf,Pandemonium,NIKI,0.699,8.0,0.796,2
2371,3Nc86B5XmDlG1KuEeSLD8x,Ew,Joji,0.48,10.0,0.804,2
2372,6Vgtvd7I5yopJdBuxqjBd2,Your Man,Joji,0.785,7.0,0.624,2
2374,1tkg4EHVoqnhR6iFEXb60y,What You Know Bout Love,Pop Smoke,0.709,10.0,0.65,2
2380,6cbsrCcgGstNCgWFKnrQmc,Mr. Hollywood,Joji,0.717,6.0,0.691,2
2391,22ZcJxQkzIL6EU692kAFWY,cowboy in LA,LANY,0.624,8.0,0.407,2
2392,1FvNOyyBpkZaAZBASx3BH8,i still talk to jesus,LANY,0.502,7.0,0.524,2
2393,3VI7vR4nbDDhoF63XHSbmE,paper,LANY,0.49,7.0,0.492,2
2409,4y4spB9m0Q6026KfkAvy9Q,Lonely (with benny blanco),Justin Bieber,0.631,11.0,0.864,2
2418,6KfGuMyhHwuQtMSBvQ02pI,Paubaya,Moira Dela Torre,0.373,5.0,0.766,2
2421,2E9xsudYVeGHnfrYqHFFaQ,Synesthesia (Bonus Track),Mayonnaise,0.292,7.0,0.755,2
2422,4mf6HE25CkxeezcdWyfUGO,Can't Take My Eyes Off You,Joseph Vincent,0.719,5.0,0.828,2
2432,2laLdXRHMaHCuqr3DXgzhZ,HANDLE IT,TWICE,0.509,5.0,0.533,2
2463,2gvlPqqngL3BppFCwLXnVc,Future,Red Velvet,0.717,7.0,0.438,2
2471,7F1CiKqrY44kh5cDqwHOnx,Love Is Gone - Acoustic,SLANDER,0.541,6.0,0.882,2
2474,0n2moJpAEWHwaPYYjkzMDl,Blue & Grey,BTS,0.547,8.0,0.42,2
2502,3Uo7WG0vmLQ07WB4BDwy7D,willow,Taylor Swift,0.392,7.0,0.835,2
2504,5BK0uqwY9DNfZ630STAEaq,gold rush,Taylor Swift,0.512,9.0,0.83,2
2505,4GBkffrtA51p17JH35irGA,‘tis the damn season,Taylor Swift,0.575,5.0,0.737,2
2506,6NriykdkRrjQMZo1sfVYUo,"no body, no crime (feat. HAIM)",Taylor Swift,0.547,7.0,0.431,2
2507,0PurA4JVJ8YQgSVopY8fn6,tolerate it,Taylor Swift,0.316,9.0,0.878,2
2508,73YUReisjb3A9ActdLLjJQ,happiness,Taylor Swift,0.559,11.0,0.87,2
2511,4tyX1rw9X309WkEdh2As4B,coney island (feat. The National),Taylor Swift,0.529,8.0,0.826,2
2515,3uayvzcbqFydIbgUeC6EJh,closure,Taylor Swift,0.686,9.0,0.832,2
2516,7vBNFh3NIZTj6tB5s1IBjE,marjorie,Taylor Swift,0.535,5.0,0.878,2
2536,0tXPhc8LvM4dPvoRwI66XQ,I'll Be Home for Christmas,Michael Bublé,0.282,7.0,0.934,2
2537,4HEOgBHRCExyYVeTyrXsnL,Jingle Bells - Remastered 1999,Frank Sinatra,0.512,8.0,0.727,2
2548,6Pgmqg15yVexuOgtzuxwoX,Dancing in My Room,347aidan,0.98,8.0,0.671,2
2555,7lPN2DXiMsVn7XUKtOW1CS,drivers license,Olivia Rodrigo,0.585,10.0,0.721,2
2559,6ivQ09kpYInvKogqPLWgy1,BE WITH ME - KR Ver.,TREASURE,0.838,9.0,0.438,2
2561,5X0rdNMk9xtQ5dNVMfZA6x,Sana'y Di Nalang,Bandang Lapis,0.246,7.0,0.492,2
2568,03B2SfXuvDh1m9F4tqrX07,Skin,Sabrina Carpenter,0.557,7.0,0.428,2
2570,0742PcMPo2Akmo4vHC29VZ,this is how you fall in love,Jeremy Zucker,0.52,7.0,0.733,2
2579,1mXxolyhAm7eP91K48L57k,Samahan Mo Ako,Je,0.663,5.0,0.477,2
2580,6qBFSepqLCuh5tehehc1bd,Like I Want You,Giveon,0.678,10.0,0.759,2
2596,1d9Ve8caYURgqYEVuEHMww,Cry Over Boys,Alexander 23,0.855,7.0,0.837,2
2598,1t7AA4xxqEseapeIJCiQ5l,When I Met You,APO Hiking Society,0.547,10.0,0.835,2
2599,4v2yxWNY3WCzB0YS9QJZP4,Byahe,John Roa,0.682,8.0,0.565,2
2612,2dHoVW9AxJVSRebPRyV2aA,Gone,ROSÉ,0.647,6.0,0.594,2
2615,7vWHppvllFJXdXf0xplZum,Your Universe,Rico Blanco,0.445,7.0,0.638,2
2620,0oaY19dUwZimIgzn3ZZLZO,2 Much,Justin Bieber,0.583,9.0,0.593,2
2635,6rcwrRWKyjaFyUL8b8GlIJ,Epilogue,IU,0.366,8.0,0.74,2
2638,60VaORSJ5x1D4ZPSc0g2En,Bambi,BAEKHYUN,0.438,7.0,0.434,2
2642,1TUkEXQrskATO9SoB4QMUN,Amusement Park,BAEKHYUN,0.635,5.0,0.85,2
2645,61KpQadow081I2AsbeLcsb,deja vu,Olivia Rodrigo,0.439,9.0,0.593,2
2647,1J14CdDAvBTE1AJYUOwl6C,Arcade,Duncan Laurence,0.453,9.0,0.827,2
2648,37LhFxchiyAJVop5JgRZgY,Like Water,WENDY,0.365,7.0,0.648,2
2649,6mavVLsxaa4YcPje9qZKcf,When This Rain Stops,WENDY,0.624,8.0,0.805,2
2651,0F9Xy6OTbkqOv94pklkwKu,Best Friend (with SEULGI),WENDY,0.48,5.0,0.606,2
2669,01QdEx6kFr78ZejhQtWR5m,Forever & Always (Piano Version) (Taylor’s Version),Taylor Swift,0.546,9.0,0.819,2
2699,5qNh5WtzMbfpSj2jLlBkoD,Your Power,Billie Eilish,0.634,9.0,0.937,2
2722,5Hm2MJQ4ECvQmH5QWCMQrR,Paraluman,Adie,0.519,5.0,0.774,2
2726,4LBCCdHfmHm9NwerX6hvrz,Magpahinga,Ben&Ben,0.405,8.0,0.96,2
2736,2zrhoHlFKxFTRF5aMyxMoQ,Next Level,aespa,0.82,11.0,0.488,2
2740,2TOzTqQXNmR2zDJXihjZ2e,enough for you,Olivia Rodrigo,0.638,7.0,0.753,2
2743,2tGvwE8GcFKwNdAXMnlbfl,happier,Olivia Rodrigo,0.395,6.0,0.765,2
2746,5JCoSi02qi3jJeHdZXMmR8,favorite crime,Olivia Rodrigo,0.369,9.0,0.866,2
2752,2zDCJxQALaKymrn3LdBFd0,Leaves (feat. Young K),Ben&Ben,0.398,6.0,0.621,2
2764,2xdwCJLfKCkat14mlgR26M,Lost Cause,Billie Eilish,0.671,10.0,0.705,2
2767,3pCt2wRdBDa2kCisIdHWgF,To the Bone,Pamungkas,0.668,7.0,0.514,2
2781,2aTKrdenCq5qBOoJPFdn4P,Here's Your Perfect,Jamie Miller,0.558,6.0,0.499,2
2782,6j9kSGlYLZdZ9sZkY9DjzY,Binibini (Last Day On Earth) (feat. James TW),Zack Tabudlo,0.564,5.0,0.478,2
2793,2aw9gph33z3qCtAD6pmTPx,Lagi,Skusta Clee,0.595,5.0,0.895,2
2801,2CVChktEKBsM6v4IfdFU5k,double take,dhruv,0.654,8.0,0.837,2
2819,1n94XVEMS40MCW52AyLGDs,Happy w u (feat. Jason Dhakal),Arthur Nery,0.596,6.0,0.903,2
2820,5CHxZuUwZqeK7WU4fAQ0ub,Pelikula,Janine Teñoso,0.676,6.0,0.801,2
2831,1lhm29o3syw122xynSKaAK,Love Me Like That,Sam Kim,0.59,9.0,0.854,2
2833,7LAmsNJpBaNvNg7VZPXxSv,As the World Caves In,Sarah Cothran,0.372,7.0,0.436,2
2840,0p4AJ91CdS1k8ibpguPJg5,Dad,D.O.,0.455,11.0,0.716,2
2841,2JEPz4bH3WNCvjz9rmZrpZ,Pasalubong - feat. Moira Dela Torre,Ben&Ben,0.375,7.0,0.582,2
2849,0gDzFm0j00WYab5fuFbHW8,Dungaw,Adie,0.613,5.0,0.696,2
2867,44V6EzbUSYgyfsNiP0FrlA,Visiting Hours,Ed Sheeran,0.471,8.0,0.77,2
2870,0ZJLssJk51m0r4j9OvXcju,California,Lorde,0.448,9.0,0.804,2
2872,1F4QwL9Rj3retjba8AmkfA,Fallen Fruit,Lorde,0.478,6.0,0.931,2
2875,6Hgk1HQsWfx6VmivH45Csc,Big Star,Lorde,0.325,7.0,0.973,2
2880,2rTZjgC9zLLbo3y0asW8Ao,Tunay,Lance Santdas,0.631,6.0,0.614,2
2892,5FDLm9oybqGymDWXMRcGk9,Sabel - feat. KZ Tandingan,Ben&Ben,0.473,9.0,0.601,2
2901,2TJ1FOCmCBkKm418MjVw5D,Donda,Kanye West,0.534,10.0,0.849,2
2904,3gWzTnziivUYzqXtnvgN8q,Jonah,Kanye West,0.459,9.0,0.795,2
2909,0Jn03ZRq6uRAKSiqmXQcai,Give Me Your Heart for Christmas,Jose Mari Chan,0.303,5.0,0.901,2
2913,2HSmyk2qMN8WQjuGhaQgCk,Champagne Poetry,Drake,0.423,6.0,0.758,2
2916,61S79KIVA4I9FXbnsylEHT,In The Bible (with Lil Durk & Giveon),Drake,0.686,7.0,0.614,2
2922,7F9cT6hIRhnFCYP6GKS0tf,IMY2 (with Kid Cudi),Drake,0.59,7.0,0.402,2
2925,1PDP7mLiAMwhfmgIwzhOm2,Yebba’s Heartbreak,Drake,0.476,8.0,0.967,2
2961,6TBJkXHPhu3EsMk1bshwuI,ONLY,LeeHi,0.536,5.0,0.892,2
2967,34YfLWuoxLEcvJQNxdI9P2,Pagsamo,Arthur Nery,0.644,6.0,0.706,2
2972,1175r6ZmkUjX8dRJLz9Ohk,I Love You So,The Walters,0.578,10.0,0.65,2
2978,5bMHrigI1EAmZdiyRzKoQi,ICONIC,aespa,0.816,8.0,0.509,2
2980,4R7Wwquqb9c5Nzco5Gy1Uo,Hung Up,Arthur Nery,0.548,11.0,0.771,2
2981,4aEX8nrDpOxHve37fo8myJ,I'd Still Kiss You,Arthur Nery,0.456,8.0,0.929,2
2982,72i1Mv68WTNNRYjEbJOkxC,Favorite Vice,Arthur Nery,0.672,8.0,0.713,2
2994,0gplL1WMoJ6iYaPgMCL0gX,Easy On Me,Adele,0.604,5.0,0.578,2
2996,0DuWDLjriRPjDRoPgaCslY,Love In The Dark,Adele,0.331,9.0,0.528,2
3002,16YZbdkJtyvsjV8UKOwQBB,Romantic Sunday,"Car, the garden",0.651,7.0,0.488,2
3014,0HeiYo9WwMT8ujirrWzarf,SOMEBODY,keshi,0.649,8.0,0.44,2
3017,5QYnNhTKsN3kE7OaqILA1U,First Times,Ed Sheeran,0.587,8.0,0.84,2
3019,2gQPv5jvVPqU2a9HhMNO1v,Toxic,BoyWithUke,0.594,8.0,0.835,2
3050,21SralRv4ucDT3i1rYrr85,Sad Beautiful Tragic (Taylor's Version),Taylor Swift,0.601,7.0,0.622,2
3060,3CiOGu8nBPGfrJr4whAOZX,State Of Grace (Acoustic Version) (Taylor's Version),Taylor Swift,0.445,7.0,0.663,2
3076,4BBnKqIS2pj2hX0zm0CZZx,REWIND,TWICE,0.665,5.0,0.768,2
3080,13CVSGLSFl4UxpDVR6u3dq,Strangers By Nature,Adele,0.387,5.0,0.798,2
3081,10ImcQk9tihY1EKMDIbvXJ,To Be Loved,Adele,0.356,8.0,0.843,2
3083,6v0UJD4a2FtleHeSYVX02A,I Drink Wine,Adele,0.437,10.0,0.697,2
3085,09u787BYeYIGd2mFIJ505t,Cry Your Heart Out,Adele,0.756,7.0,0.523,2
3086,496vIKS2INz840xZaKncvR,All Night Parking (with Erroll Garner) Interlude,Adele,0.734,8.0,0.67,2
3087,2j3GxEsbNYNeEzz86wDY4J,Love Is A Game,Adele,0.269,10.0,0.453,2
3097,4RSjEf7JWR77EhtwRnMxEh,Vanilla,KAI,0.852,8.0,0.508,2
3099,2k9N4caeCIJLOWwWwssrEM,Easily,Bruno Major,0.772,7.0,0.491,2
3101,5dXWFMwD7I7zXsInONVl0H,I Hate U,SZA,0.535,7.0,0.507,2
3103,23sa0BogsmnZXkXT7bHDYK,Tanging Dahilan,Belle Mariano,0.622,11.0,0.779,2
3107,2KnLkZ3z7PO3kgVGHGqDpD,It'll Be Okay,Shawn Mendes,0.398,7.0,0.616,2
